date_created_utc,elapsed,creator,creator_url,version,os,question_id,question_url,question_title,question_content,assignee,assignee_url
2026-05-30 14:33,13d 7h,9999slf,https://support.mozilla.org/en-US/user/9999slf/,140.11.1esr,Windows 11,1584699,https://support.mozilla.org/questions/1584699,New email not downloading,"I can send email via my laptop, which is visible on my mobile devices, but new mail has not downloaded to my laptop since May 25, after being notified by Google that I had to recover my account. Everything works fine via Gmail. ",,
2026-05-30 15:36,13d 6h,giocarta,https://support.mozilla.org/en-US/user/giocarta/,non in possesso pe,Windows 11,1584706,https://support.mozilla.org/questions/1584706,quando premo il tasto scarica mi rimanda alla pagina donazioni che ho già fatto,quando premo il tasto scarica il programma thunderbird  mi rimanda alla pagina donazioni che ho già fatto ,,
2026-05-30 17:10,13d 4h,Robert_J_Kelly,https://support.mozilla.org/en-US/user/Robert_J_Kelly/,the latest,Windows 10/11 both,1584729,https://support.mozilla.org/questions/1584729,There are no reminders for modified events. Can I reset the event to get the reminders back?,"When I extend or modify calendar events there are no reminders given. Often, I will extend an event as I get more appointments. Or modify these events to change the day or hour. These events will never give reminders. Can I reset the reminders for these events? Jerry ",,
2026-05-31 18:12,12d 3h,terryl1991,https://support.mozilla.org/en-US/user/terryl1991/,151.0.1,Mac OS Monterey 12.7.6,1584884,https://support.mozilla.org/questions/1584884,Help with Thunderbird Intsall on MacBook Air 2017,"Hello, I need help with getting Thunderbird email installed on my MacBook Air 2017 macOS Monterey.   I have successfully installed the app on my desktop but, each time I try to finish the set up, I get an ""Authentication Error"" with ""Unable to log into the server"" on the Welcome to Thunderbird initial Pop Up screen. I think it might be with the Yahoo server but, I do not know. Could someone help walk me through the set up?   Please let me know as soon as you have a few minutes or, direct me to the appropriate support department. Thank You, TL Shaffer ",,
2026-05-31 18:26,12d 3h,shen13922182533,https://support.mozilla.org/en-US/user/shen13922182533/,unable to open,Mac OS x 10_15_7.7,1584886,https://support.mozilla.org/questions/1584886,For the past 3 days whenever I try to log into thunderbird it won't open and I have a spinning ball,My thunderbird download program on my apple Mac won't open.  When I click on the app the page opens but I can't access it as there is just a spinning coloured ball.  This has been happening off and on for the last month but now for the past 3 days it is constant.  I can't open the thunderbird help option ,,
2026-06-01 08:16,11d 13h,tomzhixingw,https://support.mozilla.org/en-US/user/tomzhixingw/,149.0.1,Linux,1584958,https://support.mozilla.org/questions/1584958,Cannot connect to Exchange (microsoft) account.,"I'm using thunderbird 149.0.1. I'm trying to add a microsoft exchange account (@outlook.com). Using the account hub, after I entered the full name and email address and did the two-factor authorization, I'm stuck on the second screen (see attached). According to the instruction , I should not enter my account password in the first dialog box. However this is not possible since the password field is required. If I enter my account password in the password field, and leave the ""Your login"" part blank (or fill it with my email address), the window would complain ""Exchange auth error"" after I clicked continue. If I put a random string in the ""Your login"" field, clicking continue would lead me to a microsoft signin dialog, and if I sign in with my credential and password, the same ""Exchange auth error"" would still appear after I finished all the steps in the microsoft popup. ",,
2026-06-01 11:52,11d 10h,licitacao4,https://support.mozilla.org/en-US/user/licitacao4/,140.11.1esr (64 bi,Windows 10/11,1584982,https://support.mozilla.org/questions/1584982,Estou recebendo mensagens de não entrega,"Acredito que meu e-mail esteja sendo alvo de vírus, não sei como desativar esses envios de e-mails. Acho que cliquei em algum e-mail que chegou e acabei dando abertura para que o meu e-mail começasse a enviar esses mesmos e-mails que recebi em determinado momento. ",,
2026-06-01 16:59,11d 5h,peter.b.abegglen,https://support.mozilla.org/en-US/user/peter.b.abegglen/,151.0.1 (64-Bit),Windows 11,1585036,https://support.mozilla.org/questions/1585036,"There are TWO folders ""Spam"" instead of one. I can't eliminate the second one.","Folder one: Spam ....  this is the new one, automatically installed through a thunderbird program . Mails by filter marked as spam now get sent to THIS Folder.  ____________________________________________________________________________________ Folder two: Spam ....  this was up to now the correct existing one. ('Spam gemeldet' means: Spam mails sent to the government anti-spam authority.) So: this folder nr. 2 should be eliminated, as the folder nr. 1 seams to be the normal working one. Thank you very much for your help! Peter ",,
2026-06-01 19:17,11d 2h,whitchenault100,https://support.mozilla.org/en-US/user/whitchenault100/,140.11.0esr,Linux,1585066,https://support.mozilla.org/questions/1585066,TB connects to Yahoo Plus just fine.  Folders display but no emails display??,TB connects to Yahoo Plus just fine.  Folders display but no emails display??  I fixed this once a while back by deleting config files in TB and re-adding Yahoo.  It has happened again??  Forgot which files I wiped (in Linux Mint).  Anyway to avoid doing this continually and what's the fix? ,,
2026-06-01 19:36,11d 2h,ALLEN12,https://support.mozilla.org/en-US/user/ALLEN12/,140.10.0esr,Windows 10,1585072,https://support.mozilla.org/questions/1585072,SEARCH MODE FAILS,"SEARCH MODE IS NOT WORKING IN MAIN OR SUB FOLDERS. AS A TEST, I SEARCHED FOR A WORD THAT I KNEW WERE IN THOSE FOLDER[S] AND IT COULD NOT FIND. IT SHOULD NOT BE THAT HARD TO DO; THIS ISSUE HAS BEEN DOGGING ME FOR YEARS AND I JUST MOVED ON WITH NO ANSWER. PLEASE HELP. ",,
