date_created_utc,elapsed,creator,creator_url,version,os,question_id,question_url,question_title,question_content,assignee,assignee_url
2026-09-11 20:48,13d 23h,stu.shevitz,https://support.mozilla.org/en-US/user/stu.shevitz/,u,Windows 11,1603555,https://support.mozilla.org/questions/1603555,Need help synching my Emails (locked duplicate),Need help synching up my Emails ,,
2026-09-12 05:20,13d 14h,newengine.ark,https://support.mozilla.org/en-US/user/newengine.ark/,155.0.1,Mac OS x 10_15_7,1603616,https://support.mozilla.org/questions/1603616,I am experiencing an SMTP sending issue with Thunderbird on macOS.,"Environment:   macOS, Apple Silicon (aarch64)  Thunderbird: 155.0.1 (aarch64), Release channel  Email hosting provider: Hostinger  SMTP server: smtp.hostinger.com  SMTP configuration: Port 465, SSL/TLS, Normal Password authentication  Problem: Incoming email via IMAP works normally, but Thunderbird cannot send any outgoing email. The error is either: “The connection to Outgoing server (SMTP) smtp.hostinger.com timed out.” or: “Sending of the message failed. The message could not be sent because connecting to Outgoing server (SMTP) smtp.hostinger.com failed. The server may be unavailable or is refusing SMTP connections.” Troubleshooting already performed:   Webmail can send emails normally.  Thunderbird can receive emails normally.  SMTP settings and username have been verified.  Port 465 with SSL/TLS does not work in Thunderbird.  Port 587 with STARTTLS was also tested and does not work.  Tested with a different network/mobile hotspot — same issue.  Tested Thunderbird Troubleshoot Mode — same issue.  Updated Thunderbird from 155.0 to 155.0.1 — issue persists.  Direct TCP connectivity from the same Mac was tested successfully:  nc -vz smtp.hostinger.com 465 → succeeded nc -vz smtp.hostinger.com 587 → succeeded Therefore, the SMTP server is reachable from the Mac on both ports, and the same mailbox can send normally through Hostinger Webmail, but Thunderbird fails to establish/use the SMTP connection. Since sending was working normally before the Thunderbird update and stopped afterwards without any SMTP configuration changes, this appears potentially related to the recent Thunderbird update. Could you please advise whether there are any known SMTP/TLS/socket issues with Thunderbird 155.x on macOS, or any additional diagnostics/settings I should check? ",,
2026-09-12 09:23,13d 10h,Botanicalbry,https://support.mozilla.org/en-US/user/Botanicalbry/,153.2.0esr,Windows 11,1603637,https://support.mozilla.org/questions/1603637,Thunderbird not fetching emails from one account,"I have three email accounts. One is with a btinternet.com domain, and Thunderbird 153.2.0 has started not fetching emails from it while getting all the others. I've removed and reinstalled the account and things work fine for a few days but then it stops again. All the security settings, etc., seem correct, and I'm not getting any error messages, just nothing happens. Any thoughts from out there? ",,
2026-09-12 11:34,13d 8h,hoofburg,https://support.mozilla.org/en-US/user/hoofburg/,155.0.1 (64 bits),Windows 11,1603651,https://support.mozilla.org/questions/1603651,ik kan mijn identity niet meer wijzigen en ben de oude kwijt,Mijn eigen identity is verdwenen en nu moet ik van een default gebruik maken. Aanpassen lukt ook niet meer. De velden blijven leeg (zie bijlage) Daarbij krijg ik bij opstarten de volgende melding: Verzending van gebruikersnaam is niet gelukt. Mailserver pop.xxxx.nl antwoordde:  [AUTH] Cleartext authentication disallowed on non-secure (SSL/TLS) connections. ,,
2026-09-12 13:53,13d 6h,v.brajkin,https://support.mozilla.org/en-US/user/v.brajkin/,155.0.1,Windows 11,1603671,https://support.mozilla.org/questions/1603671,самовольное создание папок,"Здравствуйте! 1. Почтовый клиент стал показывать в папке ""Входящие"" по 10-15-20 копий одного и того же сообщения. 2. Когда-то была создана папка ""Pending""во входящих сообщениях. Сейчас почтовый клиент сам по себе поместил ее в папку ""Удаленные"", причем во входящих двух разных почтовых ящиков. Создать эту папку как отдельную во входящих не удается. 3. Удаленную папку ""Охрана труда"" почтовая программа также поместила как отдельную папку в удаленных  и воссоздает ее снова при запуске почтового клиента. ",,
2026-09-13 07:30,12d 12h,almatt1,https://support.mozilla.org/en-US/user/almatt1/,155.01,Windows 10,1603786,https://support.mozilla.org/questions/1603786,Downloaded thunderbird so it could get my outlook emails.,"I can no longer use outlook due to being a basic BT email account user. Thunderbird recognised my account. But now says can find server. It may be my password is wrong in outlook, but it is so long ago, I have no idea of my original password. I’m using the BT Mail app on my iPad and iPhone which works fine, but want my past and present emails on my laptop as well. I’m using windows 10. Any help?? ",,
2026-09-13 08:27,12d 11h,cosphi,https://support.mozilla.org/en-US/user/cosphi/,153.2 portable 32,Windows 10,1603790,https://support.mozilla.org/questions/1603790,Problèmes avec Etiquettes,"Hello, I use the 32-bit portable 153;2 version of Thunderbird. But now when I label a message according to my list of labels by color, the selected message returns to its original color. Labeling no longer works, even though old messages retain their colors well. Thank you for your response. Ph. Costes ",,
2026-09-13 11:08,12d 8h,samopn,https://support.mozilla.org/en-US/user/samopn/,140.15.0esr (64-bi,Windows 11,1603811,https://support.mozilla.org/questions/1603811,"All of a sudden, SMTP authentication failure to (all my) Outlook accounts","As the title says, over the last two days Thunderbird won't do SMTP authentication to Outlook. It has worked happily for years and nothing at my end has changed. I've the latest version of Thunderbird - 140.15.0esr (64-bit) - and this is Windows 11. It works happily from the Outlook desktop so the password is correct. The authentication method is OAth2 and connection security is STARTTLS. Server is smtp.office365.com and port 587. Anyone else having issues? Presumably MS have changed something (again) Has anyone any suggestions on how to resolve? ",,
2026-09-13 12:45,12d 7h,auyukchoi,https://support.mozilla.org/en-US/user/auyukchoi/,140.15.0esr  32bit,Windows 10,1603829,https://support.mozilla.org/questions/1603829,"After read email , That email disappeared after I finished reading it. all filters OFF , how to fix it ?","After read email , That email disappeared after I finished reading it. all filters OFF , how to fix it ? ",,
2026-09-13 15:40,12d 4h,aspirynkabeata1,https://support.mozilla.org/en-US/user/aspirynkabeata1/,155.0.1,Windows 11,1603854,https://support.mozilla.org/questions/1603854,Dlaczego nie mogę kopiować fragmentów pdf z załącznika w email,"Od pewnego czasu nie mogę w załączonych dokumentach pdf skopiować fragmentów, żeby np. wkleić je do aplikacji bankowej. ",,
2026-09-13 15:44,12d 4h,bneeley2,https://support.mozilla.org/en-US/user/bneeley2/,115.10.1 64 bit,Windows 11,1603856,https://support.mozilla.org/questions/1603856,Not getting my emails with Thunerbird,Not getting my emails on Thunderbird ,,
2026-09-14 00:56,11d 19h,regmalonea,https://support.mozilla.org/en-US/user/regmalonea/,155.0.1,Windows 11,1603932,https://support.mozilla.org/questions/1603932,Authentication error when trying to load outlook.365.com emails to Thunderbird,Authentication error when trying to load outlook.365.com emails to Thunderbird ,,
2026-09-14 06:16,11d 13h,vetboy,https://support.mozilla.org/en-US/user/vetboy/,153.2,Windows 10/11,1603956,https://support.mozilla.org/questions/1603956,authentication problem yahoo mail cannot access OAuth dialog box,"My family I are using Thunderbird 153.2. The affected accounts are all Yahoo POP accounts. IMAP accounts (Gmail) are not affected. Not sure if there was a Thunderbird update prior to this problem. Yesterday I saw the Yahoo OAuth dialog panel for no reason, didn't think too much about it and kept ignoring them thinking it was a glitch. That was a big mistake. I'm now having issues downloading emails from Yahoo. Previously when this happened a few years ago, I deleted cookies. That didn't work this time. I should have read support articles first. After reading support articles, I tried enabling cookies and allowing cookies from Yahoo, but I'm not sure which website to use (is it mail.yahoo.com?). I went into config editor and set mailnews.oauth.usePrivateBrowser to true. There are 4 Yahoo email addresses (I'll call them A, B, C, D). I am able to access all 4 yahoo accounts by webmail (email address and password). We use account A, B, and C the most. Account A seems to be the most stable however emails to A's inbox will show up in A, B, and C's inbox in Thunderbird. For some reason messages in A's inbox will go to trash in webmail as soon as Thunderbird checks and downloads emails from all accounts. Which is strange since I have always set A to leave messages on the server until I delete them. B's emails are not downloading to Thunderbird at all and are staying in the inbox. I am hoping to access the OAuth dialog box for each account to properly configure them but have been unsuccessful so far. It's been a stressful 24 hours. What should I do? Should I reset the passwords for all yahoo email accounts? Delete the Yahoo email accounts and add them back? Or should I uninstall Thunderbird and reinstall? Any suggestions are appreciated. ",,
2026-09-14 09:00,11d 10h,jacquesblondel30,https://support.mozilla.org/en-US/user/jacquesblondel30/,155.0.1 64bits,Windows 11,1603974,https://support.mozilla.org/questions/1603974,je ne peux pas configurer une adresse mail : orange.fr,je ne peux pas configurer une adresse mail orange Dans Thunderbird que se passe t-il? version de Thunderbird 155.0.1 64 bits ,,
2026-09-14 17:42,11d 2h,rodeo.mark.m,https://support.mozilla.org/en-US/user/rodeo.mark.m/,153.2.0esr (64-bit,Windows 10,1604050,https://support.mozilla.org/questions/1604050,"Have an issue with 153.2.0esr (64-bit) creating creating folders like ""Sent Items"" on NameCheap's Private Emal account that I cannot hide (unsubscribe) or delete.","Have been working with NameCheap's Private Email (PE) support for a couple days trying to unsubscribe and hide or delete folders Deleted Messages, Junk, Sent Items and Sent Messages. Today a chat rep for PE told me these are not  native PE folders and were created by a client app.  If this is true and as TB is the only client I ever use it would have to be the culprit. Notably, there remain a couple of unaffected email accounts, one of which is only accessed from an old 68.12.1 (64-bit) machine. The rep is going to look into removing the folders on their end and I am going to revert to the old version of TB for my machine to see if we can clean up this issue. Is it possible that newer versions of TB are really creating the unmanageable folders and is there any way that can be stopped??? Have used TB for years, love it and contribute to its support but while these folders appear at the bottom of the list in PE's web client they are inerspersed with the normal (Inbox, Sent, etc) folders in TB and they sometimes have duplicate names (i.e. Sent and Sent Items both appear as ""Sent"" in TB with only the Properties Dialog showing which is which). Very confusing and pretty much a deal breaker for TB. ",,
2026-09-14 18:06,11d 1h,lure_chicoteautom,https://support.mozilla.org/en-US/user/lure_chicoteautom/,153.2.0esr,Windows 11,1604053,https://support.mozilla.org/questions/1604053,"En correos recibidos no aparece el ""asunto"" en el encabezado","En correos recibidos no aparece el ""asunto"" en el encabezado o queda oculto ",,
2026-09-14 20:28,10d 23h,jhaber3,https://support.mozilla.org/en-US/user/jhaber3/,153.2.0esr (64-bit,Windows 11,1604094,https://support.mozilla.org/questions/1604094,"When links appear in a message, a mouseover used to display its URL at the bottom of the window, but it has stopped doing so.","When links appear in a message, a mouseover used to display its URL at the bottom of the window. It has stopped doing so. It was a real help in catching scams. How do I get it back? Help / About shows ""Thunderbird is up to date."" ",,
2026-09-14 20:52,10d 23h,macaroon1,https://support.mozilla.org/en-US/user/macaroon1/,,Windows 11,1604104,https://support.mozilla.org/questions/1604104,trouble with sign in at thunderbird,can't sign into thunderbird ,,
2026-09-14 20:52,10d 23h,deanmorton40,https://support.mozilla.org/en-US/user/deanmorton40/,,,1604105,https://support.mozilla.org/questions/1604105,Lost emails,I have lost all my emails from Hotmail account.Forgot my password too ,,
