date,num-gmail-matches-2026-04-01_to_2026-04-30,num-gmail-matches-2026-03-02_to_2026-03-31,num-protonmail-matches-2026-04-01_to_2026-04-30,num-protonmail-matches-2026-03-02_to_2026-03-31,num-microsoft_hosted_email-matches-2026-04-01_to_2026-04-30,num-microsoft_hosted_email-matches-2026-03-02_to_2026-03-31,2026-04-01_to_2026-04-30-gmail-matching-ids,2026-03-02_to_2026-03-31-gmail-matching-ids,2026-04-01_to_2026-04-30-protonmail-matching-ids,2026-03-02_to_2026-03-31-protonmail-matching-ids,2026-04-01_to_2026-04-30-microsoft_hosted_email-matching-ids,2026-03-02_to_2026-03-31-microsoft_hosted_email-matching-ids
2026-04-01,6,8,0,0,0,0,1573938;1573943;1573999;1574039;1574041;1574045,1568404;1568427;1568458;1568468;1568499;1568617;1568645;1568646,,,,
2026-04-02,5,5,0,0,0,0,1574041;1574045;1574173;1574206;1574223,1568434;1568506;1568712;1568759;1568887,,,,
2026-04-03,2,7,0,1,0,0,1574301;1574325,1568851;1568970;1569004;1569006;1569012;1569057;1569083,,1568920,,
2026-04-04,0,6,0,0,0,0,,1569106;1569126;1569179;1569189;1569196;1569215,,,,
2026-04-05,3,3,0,0,0,0,1574702;1574740;1574820,1569154;1569393;1569398,,,,
2026-04-06,5,4,0,1,0,0,1573674;1574888;1574889;1574908;1574978,1569449;1569453;1569509;1569583,,1569473,,
2026-04-07,4,6,0,0,0,0,1575090;1575100;1575107;1575166,1569448;1569724;1569763;1569764;1569787;1569790,,,,
2026-04-08,3,11,0,1,0,0,1575236;1575306;1575360,1569006;1569095;1569155;1569189;1569715;1569724;1569815;1569838;1569858;1569912;1569978,,1569826,,
2026-04-09,8,9,0,0,0,0,1573237;1573674;1575090;1575394;1575402;1575444;1575482;1575506,1569453;1569649;1570002;1570005;1570054;1570139;1570140;1570147;1570151,,,,
2026-04-10,6,2,0,0,0,0,1575388;1575514;1575581;1575588;1575660;1575663,1569649;1570214,,,,
2026-04-11,6,10,0,0,0,0,1575544;1575660;1575735;1575757;1575794;1575836,1569453;1569649;1570326;1570345;1570363;1570406;1570438;1570447;1570484;1570540,,,,
2026-04-12,2,6,0,0,0,0,1575900;1575915,1569453;1570187;1570556;1570563;1570577;1570581,,,,
2026-04-13,0,2,0,0,0,0,,1570713;1570789,,,,
2026-04-14,0,4,0,0,0,0,,1570874;1570975;1570995;1571025,,,,
2026-04-15,0,6,0,1,0,0,,1570691;1571025;1571026;1571039;1571079;1571081,,1571039,,
2026-04-16,0,3,0,0,0,0,,1569453;1571220;1571361,,,,
2026-04-17,0,4,0,0,0,0,,1571253;1571385;1571527;1571531,,,,
2026-04-18,0,7,0,0,0,0,,1571481;1571531;1571597;1571666;1571697;1571698;1571717,,,,
2026-04-19,0,5,0,1,0,0,,1571527;1571666;1571816;1571832;1571871,,1571885,,
2026-04-20,0,6,0,1,0,0,,1571900;1571904;1571916;1571958;1572005;1572016,,1571885,,
2026-04-21,0,11,0,0,0,0,,1571285;1571448;1571799;1572016;1572022;1572051;1572071;1572076;1572104;1572151;1572169,,,,
2026-04-22,0,7,0,1,0,0,,1571253;1571698;1571780;1572051;1572210;1572236;1572302,,1571885,,
2026-04-23,0,8,0,0,0,0,,1570381;1571253;1572104;1572236;1572359;1572428;1572448;1572462,,,,
2026-04-24,0,7,0,0,0,0,,1572104;1572596;1572597;1572627;1572633;1572644;1572652,,,,
2026-04-25,0,7,0,0,0,0,,1571253;1571705;1572104;1572169;1572843;1572855;1572894,,,,
2026-04-26,0,5,0,0,0,0,,1572855;1572925;1572977;1573042;1573048,,,,
2026-04-27,0,9,0,1,0,0,,1571026;1573147;1573155;1573159;1573186;1573200;1573205;1573237;1573240,,1573150,,
2026-04-28,0,5,0,0,0,0,,1573155;1573205;1573295;1573331;1573435,,,,
2026-04-29,0,8,0,0,0,0,,1573435;1573469;1573484;1573560;1573590;1573602;1573614;1573637,,,,
2026-04-30,0,9,0,1,0,0,,1573646;1573652;1573674;1573774;1573791;1573818;1573847;1573863;1573868,,1573818,,
