category,num_questions,question_ids
Other/Uncategorized,19,1570176;1570338;1568920;1570060;1570524;1570638;1572202;1572594;1570587;1568466;1569121;1571206;1570751;1572049;1569582;1570416;1568736;1570808;1571399
Misclassified (Not Missing Emails/Folders),12,1572876;1569000;1570750;1570268;1572801;1571866;1568888;1572974;1570328;1571335;1570412;1573522
Emails/Folders Disappeared,9,1569132;1572317;1573328;1572356;1570208;1570670;1569466;1568797;1569454
Search/Filter/View Issues,8,1573064;1573739;1572383;1568680;1573512;1571786;1572936;1571019
Profile/Installation Issues,7,1573678;1573667;1570352;1568718;1571744;1571650;1572990
Sent Folder Issues,4,1569171;1571577;1569580;1568886
After Update/Upgrade,3,1572476;1572984;1569542
Archive Related,3,1568842;1572630;1570397
All Emails Disappeared,3,1571322;1572165;1571352
Trash/Deleted Folder,2,1569925;1569281
Local Folders,1,1571927
Compact Folder Related,1,1569864
Draft Folder Issues,1,1571233
