tag,tag_count,tag_ids
windows-11,131,1573887;1573912;1573913;1573914;1573938;1573943;1573968;1573999;1574000;1574031;1574045;1574063;1574065;1574074;1574076;1574119;1574136;1574151;1574173;1574182;1574205;1574209;1574218;1574223;1574243;1574245;1574257;1574260;1574279;1574286;1574302;1574310;1574313;1574346;1574349;1574383;1574385;1574389;1574395;1574401;1574674;1574740;1574775;1574798;1574807;1574808;1574837;1574879;1574889;1574900;1574929;1574948;1574951;1574962;1575040;1575043;1575056;1575093;1575100;1575106;1575124;1575128;1575141;1575142;1575143;1575161;1575176;1575184;1575191;1575214;1575218;1575221;1575227;1575230;1575236;1575279;1575286;1575293;1575306;1575311;1575317;1575322;1575324;1575349;1575358;1575363;1575404;1575407;1575415;1575416;1575417;1575445;1575468;1575479;1575496;1575501;1575506;1575508;1575514;1575519;1575536;1575544;1575564;1575581;1575624;1575631;1575633;1575651;1575663;1575666;1575667;1575676;1575686;1575710;1575714;1575722;1575723;1575725;1575736;1575743;1575794;1575805;1575822;1575864;1575868;1575869;1575870;1575877;1575900;1575915;1575924
send-and-receive-email,67,1573881;1573912;1573938;1573968;1573974;1574029;1574039;1574045;1574119;1574136;1574137;1574173;1574205;1574206;1574218;1574223;1574302;1574346;1574365;1574414;1574665;1574667;1574674;1574702;1574820;1574879;1574889;1574896;1574901;1574962;1574977;1575055;1575090;1575093;1575117;1575188;1575214;1575215;1575283;1575292;1575377;1575415;1575416;1575437;1575479;1575482;1575508;1575519;1575536;1575544;1575559;1575564;1575593;1575624;1575633;1575651;1575670;1575676;1575723;1575725;1575769;1575792;1575794;1575805;1575881;1575911;1575924
windows-10,44,1573881;1573882;1573923;1573974;1574041;1574050;1574194;1574210;1574213;1574215;1574234;1574237;1574250;1574301;1574325;1574943;1574953;1574977;1575085;1575111;1575199;1575240;1575283;1575290;1575360;1575377;1575384;1575394;1575402;1575403;1575446;1575449;1575482;1575588;1575593;1575698;1575734;1575757;1575769;1575836;1575852;1575857;1575879;1575911
email-and-messaging,34,1573882;1573910;1574000;1574200;1574237;1574245;1574286;1574325;1574383;1574775;1574837;1574900;1574907;1574914;1574978;1575073;1575074;1575086;1575100;1575128;1575191;1575199;1575306;1575355;1575369;1575388;1575446;1575514;1575660;1575666;1575729;1575735;1575736;1575812
customization,31,1573897;1573905;1573962;1574074;1574083;1574194;1574210;1574213;1574215;1574234;1574313;1574413;1574693;1574929;1574939;1574951;1575043;1575186;1575218;1575273;1575279;1575358;1575449;1575506;1575647;1575663;1575667;1575698;1575734;1575869;1575870
windows-1011,24,1573894;1573898;1573910;1573979;1574029;1574083;1574181;1574356;1574414;1574780;1574888;1574972;1574978;1575055;1575074;1575166;1575186;1575292;1575647;1575655;1575668;1575705;1575807;1575861
linux,20,1573897;1573905;1573962;1574039;1574206;1574242;1574439;1574693;1574822;1574896;1575073;1575107;1575215;1575388;1575602;1575715;1575739;1575749;1575811;1575812
account-management,17,1574182;1574193;1574257;1574308;1574385;1574740;1574822;1574943;1575035;1575056;1575107;1575317;1575581;1575631;1575686;1575710;1575743
connectivity,15,1573943;1574031;1574041;1574050;1574301;1574401;1575085;1575236;1575286;1575322;1575363;1575582;1575587;1575868;1575915
needsinfo,14,1574050;1574119;1574346;1574349;1574665;1575360;1575402;1575479;1575581;1575588;1575723;1575749;1575836;1575915
import-and-export-email,13,1574250;1574279;1575040;1575142;1575184;1575284;1575349;1575394;1575402;1575530;1575588;1575807;1575836
junk-mail-and-spam,11,1574209;1574356;1574395;1574794;1574807;1575176;1575227;1575240;1575435;1575668;1575705
app-crash,9,1573945;1574349;1574949;1575127;1575166;1575290;1575602;1575851;1575852
contacts,9,1573999;1574386;1574439;1574808;1575403;1575407;1575715;1575749;1575757
passwords-and-sign-in,9,1574076;1575230;1575360;1575404;1575444;1575496;1575567;1575857;1575877
calendar,6,1573913;1574053;1574780;1575111;1575161;1575722
import-and-export-settings,5,1573914;1574798;1574886;1574948;1575445
installation-and-updates,5,1573923;1575026;1575141;1575172;1575655
mac-os-x-1015,5,1573945;1574137;1574914;1575035;1575881
update,4,1573898;1574242;1574972;1575129
crashing-and-slow-performance,4,1574063;1574151;1574953;1575468
attachments,4,1574065;1575324;1575501;1575739
firefox-1490,4,1574137;1574665;1575479;1575593
install,4,1574310;1575311;1575811;1575900
reset-passwords,4,1575106;1575221;1575384;1575864
profiles,3,1574165;1574181;1574243
accessibility,3,1574908;1575861;1575879
security,2,1573894;1575417
settings,2,1573979;1575889
events,2,1574260;1575293
performance-and-connectivity,2,1574389;1575822
windows-7,2,1575086;1575670
languages,2,1575124;1575143
firefox-14902,2,1575479;1575593
accounts,1,1573887
windows10,1,1574200
mac-os-x-1013,1,1574308
android,1,1574665
search,1,1574888
ubuntu,1,1575284
windows-81,1,1575660
save-passwords,1,1575714
