id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,feature,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1472287,2024-11-01T08:39:44.176483Z,2024-11-01,en-US,email-and-messaging,email-and-messaging;thunderbird-android;,andygalley43389,Download my contacts,https://support.mozilla.org/questions/1472287,,,,,,,feat:addressbook,,,1,true,20.93,False,
1472299,2024-11-01T11:14:28.824847Z,2024-11-01,en-US,email-and-messaging,email-and-messaging;thunderbird-android;,tsgiles72,Android Inbox,https://support.mozilla.org/questions/1472299,,,,,,,,,,0,false,,False,
1472314,2024-11-01T12:43:16.871742Z,2024-11-01,en-US,settings,settings;thunderbird-android;,jeremie0202,gmail configuration,https://support.mozilla.org/questions/1472314,,,,,,m:gmail,,,,0,false,,False,
1472318,2024-11-01T13:08:08.357630Z,2024-11-01,en-US,settings,settings;thunderbird-android;,m_nichols,Reading font size,https://support.mozilla.org/questions/1472318,,,,,,,,,,2,true,16.45,False,
1472320,2024-11-01T13:22:08.989762Z,2024-11-01,en-US,email-and-messaging,thunderbird;performance-and-connectivity;,general25,SMTP on Thunderbird for Android,https://support.mozilla.org/questions/1472320,,,,,,m:gmail,,proto:smtp;proto:pop,,0,false,,False,
1472321,2024-11-01T13:30:32.067472Z,2024-11-01,en-US,email-and-messaging,thunderbird;accounts;,bayo.bp,"Tunderbird for Android, how to login with Microsoft Exchange",https://support.mozilla.org/questions/1472321,,,,,,m:microsoftemail,,,,1,true,16.04,False,
1472356,2024-11-01T17:06:48.181786Z,2024-11-01,en-US,email-and-messaging,android;email-and-messaging;thunderbird-android;,karl51,Thunderbird beta updaten,https://support.mozilla.org/questions/1472356,os:android,Android,,,,,,,,1,true,12.68,False,
1472357,2024-11-01T17:12:39.513460Z,2024-11-01,en-US,email-and-messaging,thunderbird;installation-and-updates;,hermann35,Addressbook did not transfer over,https://support.mozilla.org/questions/1472357,,,,,,,feat:addressbook,,,1,true,12.39,False,
1472391,2024-11-01T23:57:54.775573Z,2024-11-01,en-US,settings,settings;thunderbird-android;,blackspear1,OAuth sign in failed (Gmail),https://support.mozilla.org/questions/1472391,os:android,"Android 14, One UI 6.1",,,,m:gmail,,proto:oauth,,3,true,3236.46,True,blackspear1
1472422,2024-11-02T06:29:15.875112Z,2024-11-02,en-US,settings,settings;thunderbird-android;httpsgithubcomthunderbirdthunderbird-androidissues8381;,psechser6,Account list,https://support.mozilla.org/questions/1472422,,,,,,,,,,1,true,8.47,False,
1472428,2024-11-02T08:29:59.269499Z,2024-11-02,en-US,settings,settings;thunderbird-android;,ralfausob,Externe pictures,https://support.mozilla.org/questions/1472428,,,,,,,,,,0,false,,False,
1472431,2024-11-02T09:17:29.063815Z,2024-11-02,en-US,email-and-messaging,email-and-messaging;thunderbird-android;,hub.bonnefin,Mails,https://support.mozilla.org/questions/1472431,,,,,,,,,,0,false,,False,
1472471,2024-11-02T16:11:46.547966Z,2024-11-02,en-US,privacy-and-security,privacy-and-security_1;thunderbird-android;,schillerj2,SPAM option not appearing,https://support.mozilla.org/questions/1472471,os:android,Android 15,,,,,feat:junk,,,0,false,,False,
