id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1448781,2024-06-01T00:36:02.170906Z,2024-06-01,en-US,installation-and-updates,download-and-install_1;,dlist2,transfer folders to document drive on computer,https://support.mozilla.org/questions/1448781,,,,,,,,,,1,true,8.38,False,
1448788,2024-06-01T08:13:11.034791Z,2024-06-01,en-US,other,other;,murray.walls,Message Filters,https://support.mozilla.org/questions/1448788,,,,,,,,,,3,true,2.32,False,
1448789,2024-06-01T08:16:23.461681Z,2024-06-01,it,other,other;,bovio45.enrico,Pulire contemporaneamente cartelle spam e trashcan,https://support.mozilla.org/questions/1448789,,,,,,,,,,1,true,3.15,False,
1448790,2024-06-01T08:36:51.582825Z,2024-06-01,en-US,other,other;,ajaykumar16161999,Mail not showing in inbox,https://support.mozilla.org/questions/1448790,,,,,,,,,,0,false,,False,
1448791,2024-06-01T08:45:01.419771Z,2024-06-01,en-US,other,other;,perferraressogianfranco,Rubrica contatti mail.,https://support.mozilla.org/questions/1448791,,,,,,,,,,1,true,0.49,False,
1448794,2024-06-01T09:46:01.542170Z,2024-06-01,en-US,troubleshooting,fix-problems;,dougjbarnes,"Thunderbird ""Authentication Failed on Server"" Message",https://support.mozilla.org/questions/1448794,,,,,,m:microsoftemail,,,,3,true,637.36,False,
1448798,2024-06-01T11:20:03.575452Z,2024-06-01,cs,other,other;,zufa2281,Úcet google - ověření přihlášení a povolení přístupu,https://support.mozilla.org/questions/1448798,,,,,,m:gmail,,,,3,true,2.12,True,Ansamb
1448799,2024-06-01T11:26:55.828300Z,2024-06-01,en-US,other,other;,mail1233,Thunderbird disappeared from my computer after ten years use.,https://support.mozilla.org/questions/1448799,,,,,,,,,,5,true,34.58,False,
1448804,2024-06-01T13:03:18.548421Z,2024-06-01,nl,troubleshooting,fix-problems;,repyolanda4,authentictiefout tijdens verbinden server imap.gmail.com,https://support.mozilla.org/questions/1448804,,,,,,m:gmail,,proto:imap,,1,true,45.24,False,
1448808,2024-06-01T15:32:41.902286Z,2024-06-01,en-US,settings,customize;,bjornuz,Tray Icon only visible for New/unread not working/seperated anymore,https://support.mozilla.org/questions/1448808,,,,,,,,,,0,false,,False,
1448811,2024-06-01T16:25:38.155692Z,2024-06-01,it,other,other;needsinfo;,stefano.vaccari,"Non riesco più a leggere le email che mi sono arrivate sino al 28 maggio, non riesco a scaricare gli allegati e neppure ",https://support.mozilla.org/questions/1448811,,,,,,,,,,1,true,14.25,False,
1448813,2024-06-01T16:42:13.268250Z,2024-06-01,en-US,other,other;,eberger5,Display count of select items,https://support.mozilla.org/questions/1448813,os:windows,,,,,,,,,8,true,0.77,False,
1448814,2024-06-01T16:56:24.410062Z,2024-06-01,en-US,troubleshooting,fix-problems;,muhanley,"The ""Delete mail marked as junk"" tool",https://support.mozilla.org/questions/1448814,,,,,,,,,,0,false,,False,
1448821,2024-06-01T18:31:07.240729Z,2024-06-01,en-US,other,other;,dchokaj,Spam in TB115 / Cox in Yahoo,https://support.mozilla.org/questions/1448821,,,,,,m:yahooemail,isp:cox,,,0,false,,False,
1448825,2024-06-01T19:54:53.645856Z,2024-06-01,it,other,other;,per.gigi,errore durante la creazione di account,https://support.mozilla.org/questions/1448825,,,,,,,,proto:imap;proto:pop,,3,true,10.71,False,
1448830,2024-06-01T21:47:58.015860Z,2024-06-01,en-US,privacy-and-security,privacy-and-security_1;,steve.waechter,Hotmail stopped working,https://support.mozilla.org/questions/1448830,os:windows,,,,,m:microsoftemail,,proto:oauth,,25,true,1.57,False,
1448831,2024-06-01T21:59:14.122350Z,2024-06-01,en-US,other,other;,JackieHarrell,Email signature changed,https://support.mozilla.org/questions/1448831,,,,,,,,,,1,true,14.65,False,
1448840,2024-06-02T00:11:40.088596Z,2024-06-02,en-US,settings,customize;,l.m.mit,Unified tab,https://support.mozilla.org/questions/1448840,,,,,,,,,,1,true,12.32,False,
1448842,2024-06-02T00:55:28.483203Z,2024-06-02,en-US,other,other;,l.m.mit,unified tab,https://support.mozilla.org/questions/1448842,,,,,,,,,,1,true,11.6,False,
