id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1425720,2023-10-01T00:47:48Z,2023-10-01,en-US,settings,customize;,Iliopier,sent folder in Inbox an arrow icon,https://support.mozilla.org/questions/1425720,,,,,,,,,8,true,6.95,False,
1425722,2023-10-01T01:06:20Z,2023-10-01,en-US,settings,customize;,clwickers,Latest version of Thunderbird (30th September 2023),https://support.mozilla.org/questions/1425722,,,,,,,,,1,false,,False,
1425724,2023-10-01T01:57:39Z,2023-10-01,en-US,installation-and-updates,download-and-install_1;,tuttleja,Import fails to import mail folders,https://support.mozilla.org/questions/1425724,,,,,,,,,1,false,,False,
1425727,2023-10-01T02:46:09Z,2023-10-01,it,settings,customize;,claudio.bobbi,Peronalizzare le email di una lista di distribuzione,https://support.mozilla.org/questions/1425727,,,,,,,,,1,true,5.61,False,
1425729,2023-10-01T03:03:18Z,2023-10-01,en-US,settings,customize;,terry.ainsley,Subject Font Size,https://support.mozilla.org/questions/1425729,,,,,,,,,10,true,1.49,False,
1425730,2023-10-01T03:32:02Z,2023-10-01,it,other,other;,tonimerlott,Cartella non sincronizzata POP - Hotmail - Outlook - outlook.live,https://support.mozilla.org/questions/1425730,os:macos,,,,m:microsoftemail,,proto:pop,,4,true,4.88,False,
1425731,2023-10-01T03:37:46Z,2023-10-01,en-US,installation-and-updates,download-and-install_1;,tuttleja,Bulk read messages in folders,https://support.mozilla.org/questions/1425731,,,,,,,,,8,true,0.52,False,
1425732,2023-10-01T03:46:59Z,2023-10-01,it,settings,customize;,fucre26.12,eliminare mail doppie,https://support.mozilla.org/questions/1425732,,,,,,,,,1,true,4.58,False,
1425736,2023-10-01T05:31:31Z,2023-10-01,en-US,settings,customize;,brian80,Clicking the New Mail Notification opens the email - it shouldn't,https://support.mozilla.org/questions/1425736,,,,,,,,,0,false,,False,
1425739,2023-10-01T06:24:31Z,2023-10-01,en-US,settings,customize;,s.a.dzwonek,customize toolbar,https://support.mozilla.org/questions/1425739,,,,,,,,,5,true,0.12,True,s.a.dzwonek
1425740,2023-10-01T06:43:27Z,2023-10-01,en-US,other,other;,tyreman,emoty sent folder,https://support.mozilla.org/questions/1425740,,,,,,,,,0,false,,False,
1425742,2023-10-01T06:48:27Z,2023-10-01,en-US,troubleshooting,fix-problems;,rushgotti,Error loading new emails,https://support.mozilla.org/questions/1425742,,,,,,,,,0,false,,False,
1425743,2023-10-01T07:03:57Z,2023-10-01,en-US,settings,customize;tabs;userchromecss;,Toad-Hall,Supernova 115* - How to change background colour of Menu Bar and Tabs.,https://support.mozilla.org/questions/1425743,,,,,,,,,3,false,,True,Toad-Hall
1425744,2023-10-01T07:15:14Z,2023-10-01,en-US,other,other;,yeno,Keeping downloaded emails off provider's servers,https://support.mozilla.org/questions/1425744,,,,,m:microsoftemail;m:yahooemail,,,,1,true,2.15,True,christ1
1425745,2023-10-01T07:20:07Z,2023-10-01,en-US,other,other;,glindathegood,Messages won't download on one email account since 115 update,https://support.mozilla.org/questions/1425745,,,,,m:yahooemail,isp:att,,,55,true,2.04,False,
1425747,2023-10-01T07:35:56Z,2023-10-01,en-US,settings,customize;,Pavel_Oupicky,Reading of Messages (Přečtení zpráv),https://support.mozilla.org/questions/1425747,,,,,,,,,1,true,2.04,False,
1425748,2023-10-01T08:01:56Z,2023-10-01,en-US,settings,customize;,K2nc2016,Mail Toolbar Vanished. How Do I Get It Back?,https://support.mozilla.org/questions/1425748,,,,,,,,,1,true,2.33,False,
1425749,2023-10-01T08:31:45Z,2023-10-01,en-US,installation-and-updates,download-and-install_1;,zoe2,Problems with 115.3.1 on Mac (Monterey),https://support.mozilla.org/questions/1425749,os:macos,,,,,,,,0,false,,False,
1425751,2023-10-01T08:35:27Z,2023-10-01,en-US,settings,customize;,tomloe,individual views in Thunderbird 115.3.1,https://support.mozilla.org/questions/1425751,,,,,,,,,0,false,,False,
