id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1419875,2023-08-01T00:56:10Z,2023-08-01,cs,troubleshooting,fix-problems;,,Ztracené emaily,https://support.mozilla.org/questions/1419875,,,,,,,,,,2,true,3.25,False,
1419877,2023-08-01T02:10:58Z,2023-08-01,en-US,installation-and-updates,download-and-install_1;,Shriradhakrishnasharnam,Request for a web version of Thunderbird,https://support.mozilla.org/questions/1419877,,,,,,,,,,0,true,23.03,False,
1419879,2023-08-01T02:51:35Z,2023-08-01,en-US,troubleshooting,fix-problems;,office22,Problem sending some emails,https://support.mozilla.org/questions/1419879,os:windows,,,,,m:gmail;m:microsoftemail,,proto:smtp,,5,true,68.77,True,office22
1419882,2023-08-01T03:18:17Z,2023-08-01,it,privacy-and-security,privacy-and-security_1;,monreale.maurizio,PASSWORD PRINCIPALE DIMENTICATA,https://support.mozilla.org/questions/1419882,,,,,,,,,,1,true,0.7,False,
1419885,2023-08-01T04:51:19Z,2023-08-01,en-US,settings,customize;,,Thunderbird Add-on to keep a log of user operations,https://support.mozilla.org/questions/1419885,,,,,,,,,,3,true,7.77,False,
1419887,2023-08-01T05:04:13Z,2023-08-01,en-US,settings,customize;,kandersons,Grouping title is showing absurd numbers of emails,https://support.mozilla.org/questions/1419887,,,,,,,,,,1,true,136.73,False,
1419889,2023-08-01T05:15:37Z,2023-08-01,en-US,installation-and-updates,download-and-install_1;,TheFlapjack,How to automatically update (or move) Filters after moving Folders from one email account to a new email account.,https://support.mozilla.org/questions/1419889,,,,,,,,,,1,true,136.53,False,
1419891,2023-08-01T05:44:15Z,2023-08-01,en-US,other,other;,markdrake,Thunderbird is not accepting O365 Mail account,https://support.mozilla.org/questions/1419891,,,,,,m:microsoftemail,,,,1,true,136.04,False,
1419893,2023-08-01T06:03:37Z,2023-08-01,en-US,other,other;,BeaEss,Problem with hotmail passwords in TB,https://support.mozilla.org/questions/1419893,,,,,,m:microsoftemail,,proto:smtp,,5,true,4.61,True,BeaEss
1419897,2023-08-01T06:39:34Z,2023-08-01,en-US,settings,customize;,wintr4ever,Stop Junk email notification,https://support.mozilla.org/questions/1419897,,,,,,,,,,1,true,8.18,False,
1419904,2023-08-01T08:09:12Z,2023-08-01,it,settings,customize;,ilbuonsole,Non riesco ad installare dizionario in italiano o altra lingua attraverso Linux 64 bit (Chrome OS),https://support.mozilla.org/questions/1419904,os:linux,,,,,,,,,4,true,0.79,False,
1419906,2023-08-01T08:27:25Z,2023-08-01,en-US,privacy-and-security,privacy-and-security_1;,peetrobo,Problem with Password Safe in Ver102,https://support.mozilla.org/questions/1419906,,,,,,m:gmail;m:microsoftemail,,,,2,true,62.42,True,peetrobo
1419909,2023-08-01T09:24:59Z,2023-08-01,es,troubleshooting,fix-problems;,,Cuenta de Mozilla Thunderbird perdida,https://support.mozilla.org/questions/1419909,,,,,,,,,,6,true,19.72,False,
1419910,2023-08-01T09:28:58Z,2023-08-01,en-US,other,other;,v.schot,Backing up 50GB of IMAP e-mail vault in local folders,https://support.mozilla.org/questions/1419910,os:macos,,,,,,,proto:imap,,3,true,0.48,False,
1419911,2023-08-01T09:33:16Z,2023-08-01,en-US,other,other;,Jimmyfh,Thunderbird,https://support.mozilla.org/questions/1419911,,,,,,,,,,1,true,0.39,False,
1419913,2023-08-01T09:39:25Z,2023-08-01,en-US,settings,customize;,Johnhoward28,Same email showing up in three folders using IMAP. How to STOP IT?,https://support.mozilla.org/questions/1419913,,,,,,,,proto:imap;proto:pop,,4,true,0.11,True,davidsk
1419915,2023-08-01T10:01:04Z,2023-08-01,en-US,troubleshooting,fix-problems;,stoneworx007,Email Search failure,https://support.mozilla.org/questions/1419915,,,,,,,,,,1,true,2.23,False,
1419918,2023-08-01T11:11:33Z,2023-08-01,en-US,other,other;,Richter,How do I remove displayed message icons on my screen???,https://support.mozilla.org/questions/1419918,,,,,,,,,,1,true,13.84,False,
