id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1417210,2023-07-01T01:30:31Z,2023-07-01,en-US,installation-and-updates,download-and-install_1;,robertcrossley39,Thunderbird is not now connecting to server,https://support.mozilla.org/questions/1417210,,,,,,,,,2,true,28.56,False,
1417224,2023-07-01T07:14:52Z,2023-07-01,en-US,other,other;,,Authentication Problem,https://support.mozilla.org/questions/1417224,,,,,m:gmail,,proto:imap,,7,true,27.15,True,davidsk
1417225,2023-07-01T07:23:06Z,2023-07-01,en-US,troubleshooting,fix-problems;,,Connection Timeout and SMTP Failure Issues,https://support.mozilla.org/questions/1417225,,,,,m:gmail,,proto:smtp;proto:oauth,,20,true,1.85,False,
1417227,2023-07-01T08:36:19Z,2023-07-01,en-US,settings,customize;,fen.giroux,Remove dictionaries from Thunderbird in Linux Fedora,https://support.mozilla.org/questions/1417227,os:linux,,,,,,,,0,false,,False,
1417230,2023-07-01T09:11:17Z,2023-07-01,en-US,other,other;,quatrain1,opening e mails,https://support.mozilla.org/questions/1417230,,,,,,,,,1,true,0.08,False,
1417231,2023-07-01T09:16:23Z,2023-07-01,en-US,calendar,calendar;,g_timpe,Thunderbird calendar data and display have dissapeared,https://support.mozilla.org/questions/1417231,,,,,,,,,2,true,72.49,False,
1417235,2023-07-01T10:28:46Z,2023-07-01,en-US,other,other;,dick-adams,"cannot send e-mails, recent new problem",https://support.mozilla.org/questions/1417235,,,,,,isp:spectrum,,,0,true,1.15,False,
1417238,2023-07-01T11:22:15Z,2023-07-01,it,other,other;,estcheema,Finestra che appare e chiede accesso con account unico,https://support.mozilla.org/questions/1417238,,,,,m:gmail,,proto:oauth,,4,true,0.78,False,
1417239,2023-07-01T11:43:35Z,2023-07-01,en-US,privacy-and-security,privacy-and-security_1;,,It won't send.  Says Certificate not correct for address,https://support.mozilla.org/questions/1417239,,,,,,,,,1,true,22.62,False,
1417242,2023-07-01T12:36:15Z,2023-07-01,en-US,other,other;needsinfo;,steve.sutton33,i cannot open my emails,https://support.mozilla.org/questions/1417242,,,,,,,,,1,true,0.1,False,
1417248,2023-07-01T14:20:12Z,2023-07-01,en-US,troubleshooting,fix-problems;,richardwalsh50,Connecting to my email account to get my emails?,https://support.mozilla.org/questions/1417248,,,,,,,,,2,true,16.33,False,
1417258,2023-07-01T16:29:27Z,2023-07-01,en-US,other,other;,robert290,How do I stop upgrade prompt from coming up?,https://support.mozilla.org/questions/1417258,,,,,,,,,1,true,3.96,False,
1417261,2023-07-01T17:40:39Z,2023-07-01,en-US,settings,customize;,kd5oug,"Where to find ""Get Message""?",https://support.mozilla.org/questions/1417261,,,,,,,,,1,true,2.29,True,MattAuSupport
1417266,2023-07-01T20:32:58Z,2023-07-01,en-US,other,other;,,why can't I move junk email to inbox?,https://support.mozilla.org/questions/1417266,,,,,,,,,1,true,8.45,False,
