id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version,firefox_version
1601433,2026-09-01T00:19:43.022701Z,2026-09-01T00:19:43.022708Z,en-US,thunderbird,Uable to add new account over one that's been hacked.,False,,,False,,,email-and-messaging,thunderbird;email-and-messaging;thunderbird-1540;,Bob338,"<p>Adding new account along with an existing hacked account. I get to the screens to add and there's a rejection, first because the imap host already exists and finally because of Authentication error. ""Could not get OAuth2 details for hostname=imap."" Tried every combo possible (except the right one!) and I still can't complete the addition. Help!! </p>",Bob338;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0;tb_version:154.0 (64 bit);os:Windows 11 ver. 154.0 (64 bit);sanitized_product_version:154.0,0,0,0,,,,Windows 11 ver. 154.0 (64 bit),154.0 (64 bit),
1601441,2026-09-01T01:15:47.563044Z,2026-09-01T01:15:47.563049Z,en-US,thunderbird,Emails not downloading,False,,,False,,,send-and-receive-email,thunderbird;windows-11;send-and-receive-email;thunderbird-1531;thunderbird-15311;,donhx3,"<p>I often do not emails which have been sent to me hours ago even though the time-check is 5 mins in settings. Once I stop and restart TB, the all come at once. </p>",donhx3;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0;tb_version:153.1.1esr (64-bit;os:Windows 11;sanitized_product_version:153.1.1,0,0,0,,,,Windows 11,153.1.1esr (64-bit,
1601442,2026-09-01T01:22:16.872009Z,2026-09-01T01:22:16.872018Z,en-US,thunderbird,Correct Outgoing SMPT settings for IMAP,False,,,False,,,send-and-receive-email,thunderbird;send-and-receive-email;thunderbird-140130;thunderbird-14013;,delletec1,"<p>I cannot send out any emails. I can only receive them.  My Error message says: “Sending of email failed.  The message  could not be sent because connecting to Outgoing server (SMPT) <a href=""http://SMPT-server.austin.rr.com"" rel=""nofollow"">SMPT-server.austin.rr.com</a> failed.  The server may be unavailable or is refusing SMPT connections. Please verify that your Outgoing server (SMPT) settings are correct and try again.” </p><p>I have able to send out emails until 2 months ago. I have not touched my settings. Could they be changed during an update from Thunderbird? I have no idea what has happened. I spent an hour on the phone with Spectrum today. After discussing my settings in detail, which he said should work, he advised me to reach out to Mozilla for help.  </p><p>I need to update my OS but not until this is fixed first.   Thank you for any help. </p>",delletec1;,False,False,False,";useragent:Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1 Ddg/26.6;tb_version:140.13.0esr;os:10.15.7;sanitized_product_version:140.13.0;kb_visits_prior:[""/en-US/kb/faq-changing-imap-pop"", ""/en-US/kb/configuration-options-accounts""]",0,0,0,,,,10.15.7,140.13.0esr,
1601443,2026-09-01T01:25:37.291740Z,2026-09-01T20:09:43.756057Z,en-US,thunderbird,No emails getting through,False,,,False,1844103.0,1844103;,send-and-receive-email,thunderbird;windows-10;send-and-receive-email;,danrosin,<p>No emails getting through for several days </p>,danrosin;Googlethunderbird.;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:154.0) Gecko/20100101 Firefox/154.0;tb_version:140.8 Oesr;os:Windows 10;sanitized_product_version:,1,0,0,,,,Windows 10,140.8 Oesr,
1601448,2026-09-01T02:26:26.326808Z,2026-09-01T23:47:41.152573Z,en-US,thunderbird,Password verification login issues.,False,,,False,1844142.0,1844142;,connectivity,thunderbird;windows-11;connectivity;thunderbird-140130;thunderbird-14013;,victoriak.03,"<p>I am trying to set up an icloud email account on Thunderbird &amp; it says ""Unable to login at server. Probably wrong configuration, username, or password. I know I have username &amp; password correct. I also checked the server settings listed by Apple, Those are right as well. </p>",victoriak.03;rednoise;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0;tb_version:140.13.0esr;os:Windows 11;sanitized_product_version:140.13.0",1,1,1,,,,Windows 11,140.13.0esr,
1601465,2026-09-01T05:32:06.273338Z,2026-09-03T14:44:27.586469Z,en-US,thunderbird,VIP notifications,False,,,False,1844652.0,1843955;1844330;1844331;1844384;1844414;1844626;1844628;1844652;,contacts,thunderbird;contacts;,parwez0809,<p>Hello. I am new to Thunderbird. I would like notifications for emails only from my VIP contact list. Kindly help please. Thanks and regards. </p>,parwez0809;davidsk;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;tb_version:22;sanitized_product_version:",8,0,0,,,,,22,
1601468,2026-09-01T06:11:45.066608Z,2026-09-01T09:39:32.242804Z,cs,thunderbird,Neustálé odpojování email účtů. Nepamatuje si uložená hesla.,False,,,False,1843937.0,1843930;1843937;,save-passwords,thunderbird;windows-10;save-passwords;thunderbird-1400;,zsservis1975,<p>Neustálé odpojování email účtů. Nepamatuje si uložená hesla. musím pokaždé zadat znovu. </p>,zsservis1975;poljos@centrum.cz;Ansamb;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0;tb_version:140;os:Windows 10;sanitized_product_version:140.0",2,0,0,,,,Windows 10,140,
1601478,2026-09-01T08:21:21.054694Z,2026-09-02T08:34:49.652588Z,it,thunderbird,Thunderbird non si carica su Apple Tahoe 26.6.2,False,,,False,1844214.0,1843934;1843938;1843952;1844007;1844214;,app-crash,thunderbird;app-crash;,sette2,"<p>Buongiorno, dopo l'ultimo aggiornamento del sistema operativo, Thunderbird si avvia, chiede la password e poi si blocca con la rotella che gira e gira e gira… Segue parte del resoconto C'e' soluzione? Grazie Marco </p><p>Date/Time:        2026-09-01 10:12:53.603 +0200 End time:         2026-09-01 10:17:33.829 +0200 OS Version:       macOS 26.6.2 (Build 25G83) Architecture:     arm64e Report Version:   72 Incident Identifier: B1E3E217-82B8-4546-8E04-A6B6FE6D712C Share With Devs:  Yes </p><p>Data Source:      Stackshots Shared Cache:     F2E86C53-6052-388B-BA71-5A0C9B569413 slid base address 0x183560000, slide 0x3560000 (System Primary) Shared Cache:     7BD04242-D730-3164-8EB8-8650F163CA21 slid base address 0x7ff801c70000, slide 0x1c70000 (Rosetta) Shared Cache:     782F9475-E902-368D-8FAF-811BFE4C2832 slid base address 0x19dac4000, slide 0x1dac4000 (DriverKit) Shared Cache:     F2E86C53-6052-388B-BA71-5A0C9B569413 slid base address 0x185ffc000, slide 0x5ffc000 </p><p>Command:          thunderbird Path:             /Applications/Thunderbird.app/Contents/MacOS/thunderbird Identifier:       org.mozilla.thunderbird Version:          154.0 (15426.8.18) Team ID:          43AQ936H96 Is First Party:   No Beta Identifier:  A3BB21EF-375D-59D0-81A6-F15A93C7B70C Architecture:     arm64 Parent:           launchd [1] PID:              25935 Time Since Fork:  295s </p><p>Event:            hang Duration:         280.23s Duration Sampled: 2.10s (process was unresponsive for 278 seconds before sampling) Steps:            21 (100ms sampling interval) </p><p>Hardware model:   MacBookPro17,1 Active cpus:      8 Memory size:      16 GB HW page size:     16384 VM page size:     16384 Shared cache residency: 20.88% (1158.89 MB / 5551.31 MB) </p><p>Time Since Boot:  701s Time Awake Since Boot: 701s Time Since Wake:  n/a (machine hasn't slept) </p><p>Fan speed:        1182 rpm Total CPU Time:   3.561s (6.4G cycles, 5.8G instructions, 1.11c/i, 1.81GHz avg) Advisory levels:  Battery -&gt; 3, User -&gt; 2, ThermalPressure -&gt; 0, Combined -&gt; 2 Free disk space:  26.74 GB/460.43 GB, low space threshold 3072 MB Vnodes Available: 79.64% (200139/251308) Models:           none </p><p>Preferred User Language: it-IT Country Code:     IT OS Cryptex File Extents: 8545 </p> <hr> <p>Timeline format: stacks are sorted chronologically Use -i and -heavy to re-report with count sorting </p> <hr> <p><br> Heaviest stack for the main thread of the target process: </p><pre> 21  start + 6992 (dyld + 132324) [0x1836944e4]  21  ??? (thunderbird + 2992) [0x100978bb0]  21  ??? (XUL + 80126108) [0x14360a09c]  21  ??? (XUL + 80124912) [0x143609bf0]  21  ??? (XUL + 80123148) [0x14360950c]  21  ??? (XUL + 78889268) [0x1434dc134]  21  ??? (XUL + 67718768) [0x142a34e70]  21  ??? (XUL + 67714076) [0x142a33c1c]  21  -[NSApplication run] + 368 (AppKit + 180540) [0x187f4513c]  21  ??? (XUL + 67714408) [0x142a33d68]  21  -[NSApplication(NSEventRouting) nextEventMatchingMask:untilDate:inMode:dequeue:] + 72 (AppKit + 12379768) [0x188ae7678]  21  -[NSApplication(NSEventRouting) _nextEventMatchingEventMask:untilDate:inMode:dequeue:] + 688 (AppKit + 12380524) [0x188ae796c]  21  _DPSNextEvent + 576 (AppKit + 233604) [0x187f52084]  21  _DPSBlockUntilNextEventMatchingListInMode + 228 (AppKit + 7230416) [0x1885fe3d0]  21  _BlockUntilNextEventMatchingListInMode + 48 (HIToolbox + 2400588) [0x190a9414c]  21  ReceiveNextEventCommon + 488 (HIToolbox + 788668) [0x19090a8bc]  21  RunCurrentEventLoopInMode + 320 (HIToolbox + 775520) [0x190907560]  21  _CFRunLoopRunSpecificWithOptions + 532 (CoreFoundation + 1372772) [0x183bee264]  21  __CFRunLoopRun + 820 (CoreFoundation + 510084) [0x183b1b884]  21  __CFRunLoopDoSources0 + 232 (CoreFoundation + 515168) [0x183b1cc60]  21  __CFRunLoopDoSource0 + 172 (CoreFoundation + 515828) [0x183b1cef4]  21  __CFRUNLOOP_IS_CALLING_OUT_TO_A_SOURCE0_PERFORM_FUNCTION__ + 28 (CoreFoundation + 515936) [0x183b1cf60]  21  ??? (XUL + 67716948) [0x142a34754]  21  ??? (XUL + 67306944) [0x1429d05c0]  21  ??? (XUL + 12152676) [0x13f536f64]  21  ??? (XUL + 12161148) [0x13f53907c]  21  ??? (XUL + 12094952) [0x13f528de8]  21  ??? (XUL + 12068360) [0x13f522608]  21  ??? (XUL + 12076104) [0x13f524448]  21  ??? (XUL + 12096560) [0x13f529430]  21  ??? (XUL + 12213392) [0x13f545c90]  21  ??? (XUL + 12223988) [0x13f5485f4]  21  ??? (XUL + 12213392) [0x13f545c90]  21  ??? (XUL + 12223988) [0x13f5485f4]  21  ??? (XUL + 63014836) [0x1425b87b4]  21  ??? (XUL + 62823148) [0x142589aec]  21  ??? (XUL + 62822336) [0x1425897c0]  21  ??? (XUL + 43727300) [0x1413539c4]  21  ??? (XUL + 43531272) [0x141323c08]  21  ??? (XUL + 43676580) [0x1413473a4]  21  ??? (XUL + 43668116) [0x141345294]  21  ??? (XUL + 43702860) [0x14134da4c]  21  ??? (XUL + 43704852) [0x14134e214]  21  ??? (XUL + 43701312) [0x14134d440]  21  ??? (XUL + 11333612) [0x13f46efec]  21  ??? (XUL + 11339872) [0x13f470860]  21  ??? (XUL + 85376556) [0x143b0be2c]  21  ??? (XUL + 92056924) [0x14416ad5c]  21  ??? (XUL + 92055776) [0x14416a8e0]  21  ??? (XUL + 92054408) [0x14416a388]  21  ??? (XUL + 92085888) [0x144171e80]  21  ??? (XUL + 92055064) [0x14416a618]  21  ??? (XUL + 38993796) [0x140ecff84]  21  ??? (XUL + 33723852) [0x1409c95cc]  21  ??? (XUL + 59369368) [0x14223e798]  21  ??? (XUL + 59372124) [0x14223f25c]  21  ??? (XUL + 59477224) [0x142258ce8]  21  ??? (XUL + 12969896) [0x13f5fe7a8]  21  ??? (XUL + 12911456) [0x13f5f0360]  21  ??? (XUL + 12914800) [0x13f5f1070]  21  mozilla::detail::ConditionVariableImpl::wait_for(mozilla::detail::MutexImpl&amp;, mozilla::BaseTimeDuration&lt;mozilla::TimeDurationValueCalculator&gt; const&amp;) + 56 (libmozglue.dylib + 339448) [0x100afedf8]  21  __psynch_cvwait + 8 (libsystem_kernel.dylib + 17676) [0x183a1f50c] *21  psynch_cvcontinue + 0 (pthread + 17948) [0xfffffe000b56bcbc] </pre> <p><br> Process:          thunderbird (Thunderbird) [25935] UUID:             4C4C4496-5555-3144-A196-B667FCFE4BEC Path:             /Applications/Thunderbird.app/Contents/MacOS/thunderbird Identifier:       org.mozilla.thunderbird Version:          154.0 (15426.8.18) Team ID:          43AQ936H96 Is First Party:   No Beta Identifier:  A3BB21EF-375D-59D0-81A6-F15A93C7B70C Shared Cache:     F2E86C53-6052-388B-BA71-5A0C9B569413 slid base address 0x183560000, slide 0x3560000 (System Primary) Architecture:     arm64 Parent:           launchd [1] UID:              501 Memory Limit:     0MB Jetsam Priority:  100 Footprint:        657.73 MB Time Since Fork:  295s Num samples:      21 (1-21) CPU Time:         0.104s (185.6M cycles, 109.2M instructions, 1.70c/i, 1.78GHz avg) Note:             Unresponsive for 278 seconds before sampling Num threads:      53 Note:             2 idle work queue threads omitted </p><pre> Thread 0x13e75    DispatchQueue ""com.apple.main-thread""(1)    Thread name ""MainThread""    21 samples (1-21)    priority 47 (base 47)    last ran 281.222s ago  &lt;process frontmost, thread QoS user interactive (requested user interactive), process unclamped, jetsam priority 100 (requested 100, assertion 0), process memory limit 0MB, process received importance donation from WindowServer [437], IO tier 0&gt;  21  start + 6992 (dyld + 132324) [0x1836944e4] 1-21    21  ??? (thunderbird + 2992) [0x100978bb0] 1-21      21  ??? (XUL + 80126108) [0x14360a09c] 1-21        21  ??? (XUL + 80124912) [0x143609bf0] 1-21          21  ??? (XUL + 80123148) [0x14360950c] 1-21            21  ??? (XUL + 78889268) [0x1434dc134] 1-21              21  ??? (XUL + 67718768) [0x142a34e70] 1-21                21  ??? (XUL + 67714076) [0x142a33c1c] 1-21                  21  -[NSApplication run] + 368 (AppKit + 180540) [0x187f4513c] 1-21                    21  ??? (XUL + 67714408) [0x142a33d68] 1-21                      21  -[NSApplication(NSEventRouting) nextEventMatchingMask:untilDate:inMode:dequeue:] + 72 (AppKit + 12379768) [0x188ae7678] 1-21                        21  -[NSApplication(NSEventRouting) _nextEventMatchingEventMask:untilDate:inMode:dequeue:] + 688 (AppKit + 12380524) [0x188ae796c] 1-21                          21  _DPSNextEvent + 576 (AppKit + 233604) [0x187f52084] 1-21                            21  _DPSBlockUntilNextEventMatchingListInMode + 228 (AppKit + 7230416) [0x1885fe3d0] 1-21                              21  _BlockUntilNextEventMatchingListInMode + 48 (HIToolbox + 2400588) [0x190a9414c] 1-21                                21  ReceiveNextEventCommon + 488 (HIToolbox + 788668) [0x19090a8bc] 1-21                                  21  RunCurrentEventLoopInMode + 320 (HIToolbox + 775520) [0x190907560] 1-21                                    21  _CFRunLoopRunSpecificWithOptions + 532 (CoreFoundation + 1372772) [0x183bee264] 1-21                                      21  __CFRunLoopRun + 820 (CoreFoundation + 510084) [0x183b1b884] 1-21                                        21  __CFRunLoopDoSources0 + 232 (CoreFoundation + 515168) [0x183b1cc60] 1-21                                          21  __CFRunLoopDoSource0 + 172 (CoreFoundation + 515828) [0x183b1cef4] 1-21                                            21  __CFRUNLOOP_IS_CALLING_OUT_TO_A_SOURCE0_PERFORM_FUNCTION__ + 28 (CoreFoundation + 515936) [0x183b1cf60] 1-21                                              21  ??? (XUL + 67716948) [0x142a34754] 1-21                                                21  ??? (XUL + 67306944) [0x1429d05c0] 1-21                                                  21  ??? (XUL + 12152676) [0x13f536f64] 1-21                                                    21  ??? (XUL + 12161148) [0x13f53907c] 1-21                                                      21  ??? (XUL + 12094952) [0x13f528de8] 1-21                                                        21  ??? (XUL + 12068360) [0x13f522608] 1-21                                                          21  ??? (XUL + 12076104) [0x13f524448] 1-21                                                            21  ??? (XUL + 12096560) [0x13f529430] 1-21                                                              21  ??? (XUL + 12213392) [0x13f545c90] 1-21                                                                21  ??? (XUL + 12223988) [0x13f5485f4] 1-21                                                                  21  ??? (XUL + 12213392) [0x13f545c90] 1-21                                                                    21  ??? (XUL + 12223988) [0x13f5485f4] 1-21                                                                      21  ??? (XUL + 63014836) [0x1425b87b4] 1-21                                                                        21  ??? (XUL + 62823148) [0x142589aec] 1-21                                                                          21  ??? (XUL + 62822336) [0x1425897c0] 1-21                                                                            21  ??? (XUL + 43727300) [0x1413539c4] 1-21                                                                              21  ??? (XUL + 43531272) [0x141323c08] 1-21                                                                                21  ??? (XUL + 43676580) [0x1413473a4] 1-21                                                                                  21  ??? (XUL + 43668116) [0x141345294] 1-21                                                                                    21  ??? (XUL + 43702860) [0x14134da4c] 1-21                                                                                      21  ??? (XUL + 43704852) [0x14134e214] 1-21                                                                                        21  ??? (XUL + 43701312) [0x14134d440] 1-21                                                                                          21  ??? (XUL + 11333612) [0x13f46efec] 1-21                                                                                            21  ??? (XUL + 11339872) [0x13f470860] 1-21                                                                                              21  ??? (XUL + 85376556) [0x143b0be2c] 1-21                                                                                                21  ??? (XUL + 92056924) [0x14416ad5c] 1-21                                                                                                  21  ??? (XUL + 92055776) [0x14416a8e0] 1-21                                                                                                    21  ??? (XUL + 92054408) [0x14416a388] 1-21                                                                                                      21  ??? (XUL + 92085888) [0x144171e80] 1-21                                                                                                        21  ??? (XUL + 92055064) [0x14416a618] 1-21                                                                                                          21  ??? (XUL + 38993796) [0x140ecff84] 1-21                                                                                                            21  ??? (XUL + 33723852) [0x1409c95cc] 1-21                                                                                                              21  ??? (XUL + 59369368) [0x14223e798] 1-21                                                                                                                21  ??? (XUL + 59372124) [0x14223f25c] 1-21                                                                                                                  21  ??? (XUL + 59477224) [0x142258ce8] 1-21                                                                                                                    21  ??? (XUL + 12969896) [0x13f5fe7a8] 1-21                                                                                                                      21  ??? (XUL + 12911456) [0x13f5f0360] 1-21                                                                                                                        21  ??? (XUL + 12914800) [0x13f5f1070] 1-21                                                                                                                          21  mozilla::detail::ConditionVariableImpl::wait_for(mozilla::detail::MutexImpl&amp;, mozilla::BaseTimeDuration&lt;mozilla::TimeDurationValueCalculator&gt; const&amp;) + 56 (libmozglue.dylib + 339448) [0x100afedf8] 1-21                                                                                                                            21  __psynch_cvwait + 8 (libsystem_kernel.dylib + 17676) [0x183a1f50c] 1-21                                                                                                                             *21  psynch_cvcontinue + 0 (pthread + 17948) [0xfffffe000b56bcbc] 1-21 </pre> <p>.............continua così........ </p>",sette2;@next;clelia.marchionna;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15;tb_version:Thunderbird 154.0;os:Mac Tahoe 26.6.2;sanitized_product_version:",5,0,0,,,,Mac Tahoe 26.6.2,Thunderbird 154.0,
1601493,2026-09-01T10:42:18.640683Z,2026-09-01T11:19:16.839236Z,en-US,thunderbird,CANNOT SEND ATTACHMENTS OVER 36 MB,False,,,False,1843953.0,1843953;,attachments,thunderbird;windows-10;attachments;,dcolin,<p>CANNOT SEND ATTACHMENTS LARGER THAT 30MBS. WHAT CAN I DO??? </p>,dcolin;davidsk;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36;tb_version:DONT KNOW;os:Windows 10;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird""]",1,0,0,,,,Windows 10,DONT KNOW,
1601497,2026-09-01T11:24:15.883094Z,2026-09-01T21:07:03.268814Z,en-US,thunderbird,my email account has dissapeared,False,,,False,1844115.0,1844115;,install,thunderbird;windows-10;install;,kurt74,"<p>after an update on pc, my email program has dissapeared, where can I find it again </p>",kurt74;Mapenzi;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0;tb_version:?;os:Windows 10;sanitized_product_version:,1,0,0,,,,Windows 10,?,
