id,discovered_theme,category,severity,root_cause_hypothesis,supporting_quote,is_new_or_notable,created_date,is_solved,solved_by,has_solution,last_answer_trusted,has_trusted_answer,n_answers,n_creator_answers
1596022,How to install Thunderbird on Zorin OS from download file,other,1,"User unfamiliar with Linux tarball/package installation procedures, not a product defect.","do I unzip the folder, if so where do I finder the installer?",False,2026-08-01,False,,False,True,True,1,0
1596031,Some emails not received and messages fail to open,send-receive,4,"Possibly corrupt local message store/index or IMAP sync failure, but insufficient detail provided.",not receiving all emails and some that I do receive do not open,False,2026-08-01,False,,False,False,False,1,1
1596048,Address book contacts wrongly filtered as spam after update,spam-filters,3,Server-side spam headers trusted by Thunderbird or server-side spam classification overriding local address-book whitelist.,recently some addresses out of my adressbook get filtered anyway - weird,True,2026-08-01,False,,False,True,True,1,0
1596051,Message filters move entire inbox to Trash,search-folders,4,Misconfigured filter rules (likely overly broad match condition) causing all messages to be moved to Trash.,nach Anlage von zwei neuen Filtern landet mein gesamter Posteingang im Papierkorb,False,2026-08-01,True,davidsk,True,True,True,6,2
1596067,Tags disappear from messages after 153.0.1 update,ui-ux,3,Tag key/preference persistence regression in 153.0.x causing custom tags not to be saved to the message database.,tags of incoming and newly tagged emails disappear automatically after approx. 10 sec. after tagging,True,2026-08-01,False,,False,False,False,0,0
1596071,Account setup on new computer: no confirmation instructions received,account-login,3,User confusion between mail provider credentials and account creation flow; expected email never arrives because no such flow exists.,"a user name and password is required,followed the procedure but no instructions arrived",False,2026-08-01,False,,False,True,True,1,0
1596089,Cannot set default font color for replies,settings-config,2,Compose editor inherits quoted message styling and offers no reply-specific default color setting until compose rewrite.,Is there a way to change the default font color for replies in Thunderbird? Nothing I do works,False,2026-08-01,False,,False,False,True,10,5
1596091,HTML newsletter content duplicated when rendered in Thunderbird,ui-ux,2,Multipart/alternative boundary or invalid HTML causes Thunderbird to render both parts/sections of the newsletter.,it's been duplicating stories and ads in the same message,True,2026-08-01,False,,False,False,True,2,1
1596093,Manual EWS account setup creates SMTP instead of EWS outgoing server,account-login,4,"Manual configuration path for Exchange/EWS does not create an EWS outgoing server entry, forcing SMTP and requiring prefs.js hand-editing.",The problem is the outgoing server is not created OK (it is imap with password setup). I need to use the same EWS to send the email,True,2026-08-01,False,,False,False,True,4,3
1596096,How to add a button/tab to compose a new email,ui-ux,1,Folder pane header hidden so the New Message button is not discoverable.,How do add a tab/icon to creat an email?,False,2026-08-01,False,,False,True,True,1,0
1596103,Where to download Thunderbird 153 for aarch64 architecture,other,2,User cannot locate ARM64 builds on the download page; likely a discoverability issue rather than a bug.,where can i download thunderbird-153 for aarch64?,False,2026-08-01,False,,False,True,True,1,0
1596115,Unified folders view enabled by default and reverting each session,ui-ux,2,Folder pane layout mode set to unified folders and user unaware of the View > Layout toggle.,"Thunderbird Birleşik hesap olarak açılıyor, Her defasınfa değiştirmek zorunda Kalıyorum.",False,2026-08-01,True,maxcoder,True,True,True,1,0
1596118,Unwanted Thunderbird notifications on phone after removing app,other,2,Leftover Thunderbird for Android install or OS-level notification remnants on the secondary device.,I keep getting alert notices on my phone from thunderbird.,False,2026-08-01,False,,False,True,True,1,0
1596121,Message list switched from table view to card view,ui-ux,2,Default/accidentally changed Card View layout setting in Appearance settings.,Thunderbird display messages in boxes arranged horizontally accross the top of the screen.,False,2026-08-01,False,,False,True,True,1,0
1596123,'Show remote content' opens tabs in Firefox instead of loading images in 153,ui-ux,3,Regression in 153 where remote content URLs are handed to the external default browser rather than fetched inline.,when I click on show remote content it opens new tabs in Firefox 153.0,True,2026-08-01,False,,False,False,False,0,0
1596125,Black/gray rectangular rendering artifacts in window corners,ui-ux,2,Hardware acceleration/compositor incompatibility with the GPU driver causing rendering artifacts outside fullscreen.,there are black-gray rectanguler spots left top and bottom. It dissapears when in full screen mode,True,2026-08-01,False,,False,False,True,5,2
1596141,Request for per-account avatars in account list,ui-ux,1,Feature not implemented; no UI to assign icons/avatars to accounts.,Is there a plugin or something to allow for using avatars for your email accounts?,False,2026-08-01,False,,False,False,False,0,0
1596143,Messages from one sender never arrive; server-side spam filtering with POP account,spam-filters,4,Provider-side spam filtering diverts the sender's mail to a server Spam folder that POP3 never downloads.,"My Thunderbird email isn't receiving sends from Practice Better any more, when it used to.",False,2026-08-01,False,,False,False,True,12,7
1596152,Microsoft OAuth sign-in window missing 'sign in with password' option,sync-oauth,4,"Microsoft's hosted login page hides password auth in the embedded OAuth webview, likely due to outdated embedded browser/user-agent on Windows 7 with TB 115.",The Microsoft sign in window comes up for me to sign in but there is no longer an option to sign in with your password,True,2026-08-01,False,,False,False,False,1,1
1596159,Junk/Bayes filter ineffective; no sender IP blocking capability,spam-filters,3,Adaptive junk filter training insufficient and Thunderbird lacks native IP-based blocklists.,spam filters do not work. After 18 years of putting up with it I want block senders and sender ip's,False,2026-08-01,False,,False,True,True,1,0
1596164,Cannot send from Gmail POP account and Gmail account setup wizard spins forever after 153 update,account-login,5,"OAuth2 flow / account-creation wizard failing after upgrade, likely due to stale credentials and long-migrated profile config plus oauth redirect prefs.",we lost the ability to send gmail messages from our pop gmail account,True,2026-08-01,False,,False,False,True,3,1
1596165,Repeated login prompt for closed/removed email account,account-login,2,Stale saved password/credential entry for a deleted account kept triggering an OAuth sign-in prompt.,Only on the pc I get a message to login to closed email address.,False,2026-08-01,True,dkupchak1,True,False,True,5,3
1596185,IMAP connection to host fails on WiFi but works on mobile data,send-receive,4,Server-side TLS certificate mismatch or IP-based blocking of the WiFi network by the hosting provider.,an error occurred connecting to gsyd1001.siteground.net :993.,False,2026-08-02,True,hello343,True,True,True,5,1
1596191,Calendar events shift one hour earlier after sync,calendar-tasks,3,Timezone/DST definition mismatch for America/Mexico_City (Mexico abolished DST) between server ICS data and Thunderbird's bundled tzdata.,Thunderbird App syncs the event at 16:00,True,2026-08-02,False,,False,False,False,0,0
1596205,Profile lost — Thunderbird starts as fresh install with no accounts,performance-crash,5,profiles.ini corruption or prefs.js damage after an unclean shutdown causing Thunderbird to create a new default profile.,"Thunderbird opened as if it were a fresh installation. None of my email accounts, settings, or data are there.",True,2026-08-02,False,,False,True,True,2,0
1596211,Importing Thunderbird address book into CardBook add-on,addons-extensions,2,"CardBook's initial auto-import of standard address books failed or is undiscoverable, so users can't find the import path.",How do I import TB adressbook enries into Cardbook?,False,2026-08-02,False,,False,True,True,4,1
1596218,No quick way to return to inbox when messages open in tabs,ui-ux,1,"Default 'open messages in new tab' setting is not discoverable, causing navigation friction.",the only way I have found to return to the inbox is to click and hold the left arrow,False,2026-08-02,True,mozilla98,True,False,True,2,1
1596265,Cannot import mbox files after Windows reinstall — no Local Folders account exists,migration-import,3,"Thunderbird does not create the Local Folders pseudo-account when no mail account is configured, blocking mbox import.","I reinstalled Thunderbird, but have been unable to get it to find my mobx files",True,2026-08-02,True,mozilla98,True,True,True,6,2
1596285,Empty Trash does nothing for Yahoo account on Android,send-receive,3,IMAP EXPUNGE/delete command failing silently against Yahoo servers in Thunderbird for Android 21.0.,"selecting ""Empty Trash"" for my ymail.com account results in nothing happening",True,2026-08-02,False,,False,False,False,0,0
1596287,Question whether Thunderbird supports DMARC-compliant sending,other,1,"User confusion: DMARC is enforced server-side, not by the mail client.",confirm they support DMARC-compliant email sending,False,2026-08-02,True,mozilla98,True,True,True,1,0
1596288,Shift+Space scroll-up shortcut no longer works when focus is in message list,ui-ux,2,"Keyboard handling regression: Shift+Space is no longer routed to the message pane scroll when focus remains in the thread list, while Space still is.","it works when I move into message panel, but it doesn't work anymore when I stay in messages list",True,2026-08-02,False,,False,False,True,4,2
1596297,Lost mail folders after deleting profile during Comcast-to-Yahoo app password migration,account-login,5,"User deleted the POP account/profile holding local mail store, and Yahoo app-specific password wasn't saved because password manager storage wasn't used, causing repeated prompts.",I have lost of of the existing emails/folders. that I had in Thunderbird. Now what do I do to recover all of those old emails & folders??,True,2026-08-02,False,,False,False,False,0,0
1596300,How to block specific spam/malware senders,spam-filters,2,No blocklist feature discoverability; user unaware of junk training and message filters.,Can't find how to block emails from undesired entities,False,2026-08-02,False,,False,True,True,2,0
1596314,Outlook.com OAuth completes but account setup fails with error,sync-oauth,4,"Microsoft consumer OAuth token is granted but autoconfig/IMAP authorization step fails, likely due to scope or endpoint mismatch, leaving the account unadded while password is stored.","After I click the Continue button, I see an error message ( see image 5 ). The email I tried to add isn't added, but the password is added to Thunderbird",True,2026-08-02,False,,False,False,False,0,0
1596316,One Spectrum account cannot connect to mail server while others work,account-login,4,"Legacy Spectrum/Charter mailbox likely needs migration or server-side auth reset, not a client bug, since other accounts on same server work.",Tried to setup the account on new computer and it will to connect to Spectrum's mail server. Able to setup the other 6,False,2026-08-02,False,,False,False,False,0,0
1596317,Thunderbird 153 starts as background process with no visible window except in Troubleshoot Mode,performance-crash,5,"A corrupted profile-level rendering/window state (e.g., xulstore.json or dark-mode/graphics pref) prevents window creation when non-default profile settings load.",non compare nessuna finestra visibile. Il programma sembra non partire.,True,2026-08-02,False,,False,False,False,4,2
1596331,Send Later messages stuck in Local Folders Outbox and not auto-sent,send-receive,3,"Outbox queue is only flushed on explicit 'Send Unsent Messages' action, and message copies remain after manual resend, confusing users.","the message is still waiting there, I assumed it would've been sent when some other message was successfully sent",False,2026-08-03,True,wxie2016,True,False,False,2,1
1596338,Intermittent SMTP failure with xtra.co.nz outgoing server,send-receive,4,Provider-side SMTP throttling or outage at Spark/Xtra rather than client misconfiguration.,the Outgoing server (SMTP) send@xtra.co.nz failed. The server may be unavailable or is refusing SMTP connections.',False,2026-08-03,False,,False,True,True,1,0
1596345,InsertSignature add-on button relocated after 153.0.1 compose toolbar change,addons-extensions,2,Compose window toolbar API/customization changes in TB 153 moved extension-injected buttons out of the formatting toolbar.,the button moved to the top compose toolbar next to the Send button,True,2026-08-03,False,,False,True,True,1,0
1596346,"Unable to complete adding a new email account, setup loops",account-login,3,"Insufficient detail; likely account setup wizard looping due to failed autoconfig or authentication, need version/OS and provider.",Im trying to add new email addresses but keep get sent around in circles,False,2026-08-03,False,,False,True,True,1,0
1596360,System notification 'Mark as read' fails for messages moved to Junk,spam-filters,2,"The notification action targets the message by its original inbox location/key, which becomes stale after the junk filter moves the message to the Junk folder.","if I click on ""Mark as read"" for emails that are going to be automatically put into Junk, the emails will remain unread",True,2026-08-03,False,,False,False,False,0,0
1596361,Message tags/labels not persisting after selecting another message,send-receive,3,"Tags stored as IMAP keywords are not persisted by the server, so the label is lost when the message is re-fetched from the server cache.","Whenever I assign a label to a message and then click on another message, the label I assigned to the previous message disappears.",False,2026-08-03,False,,False,True,True,3,0
1596367,Not receiving mail from alice.it/TIM provider account,send-receive,4,ISP-side restriction or incorrect incoming server settings for the Telecom Italia/TIM alice.it domain block message retrieval.,non ricevo le email che mi vengono inviate tramite alice.it,False,2026-08-03,True,'@next,True,False,False,2,1
1596368,Composition toolbar/Send button missing after 153.0.1 update,ui-ux,4,The update reset toolbar visibility state in the compose window so the composition toolbar and menu bar were disabled.,Vandaag (3 augustus) merk ik dat ik geen mail meer kan versturen. In feite ontbreekt de hele menubalk boven het bericht.,True,2026-08-03,True,Mozilla-assistent,True,True,True,3,1
1596377,Thunderbird won't launch ('already running') plus IMAP authentication failures,performance-crash,5,"A corrupted profile left a stale lock file and broken OAuth credentials, preventing startup and server authentication until the profile was deleted.","mi esce la scritta che thunderbird e' già aperto e devo chiudere, lo faccio e si apre ma con questo messaggio: autenticazione non riuscita del server imap",True,2026-08-03,True,giada.fiorentino,True,False,False,5,3
1596378,Hotmail account folders disappeared and replaced by unexpected archive folders,search-folders,5,"Account re-setup or IMAP resubscription changed the folder mapping/POP-vs-IMAP configuration, hiding the original folder hierarchy locally.",avevo cartelle che contenevano dati importantissimi improvvisamente sono scomparse come faccio a recuperarle?,True,2026-08-03,False,,False,False,False,1,0
1596395,Thunderbird stops working and install requires 250 MB free disk space,performance-crash,4,Insufficient free disk space blocks installation and likely also corrupted the profile database causing the original failure.,"mi chiede di liberare 250 mb; strano, sono costretto a usare l'app di gmail",False,2026-08-03,False,,False,False,False,1,0
1596399,Replies not copied to Sent folder when 'place replies in folder of original' is enabled,settings-config,3,The 'place replies in the folder of the message being replied to' setting overrides rather than supplements the Sent folder copy behavior.,"it only shows up in the ""inbox"" folder. Why does this not work?",False,2026-08-03,False,,False,False,True,2,1
1596407,Composition toolbar/Send button missing after 153.0.1 update,ui-ux,4,"The 153.0.1 update reset compose window toolbar visibility preferences, hiding the menu bar and composition toolbar.",The lines 2. and 3. are fully gone. Can you please give an answer how to reactive the lines 2. und 3. during composing an eMail?,True,2026-08-03,True,rednoise,True,False,True,2,1
1596413,'Customise Menu' unresponsive and toolbar items missing after 153.0.1 update,ui-ux,3,Post-update UI state was not fully initialized until an application/OS restart rebuilt the unified toolbar customization data.,"right click on that, you get 'Customise Menu"", which does nothing",True,2026-08-03,True,IdeasVacuum,True,True,True,3,1
1596422,IMAP APPEND rejected due to invalid NonJunk flag when moving messages to new folder,send-receive,4,"Thunderbird sends the non-standard 'NonJunk' keyword alongside '$notjunk' in APPEND, which strict IMAP servers reject as an invalid flag.",The current command did not succeed. The email server responded: APPEND invalid flag list,True,2026-08-03,False,,False,False,False,2,1
1596423,Built-in OAuth captive browser blocks Duo MFA local network access in 153,sync-oauth,4,"Thunderbird's embedded auth browser in 153 lacks the local network access permission prompt Duo Desktop requires, breaking MFA login (works after downgrade to 152).",I downgraded to 152.0.1 and that resolved the issue.,True,2026-08-03,False,,False,False,False,1,1
1596425,Confusion configuring account for own domain without provider mail server settings,account-login,2,User expects Thunderbird to act as a mail server for their domain; they need IMAP/SMTP settings from their hosting provider.,"We have our own domain name, syrett.nl which I want to use with Thunderbird, can you guide me through the set up?",False,2026-08-03,True,mozilla98,True,True,True,7,2
1596426,Junk folders automatically renamed to Spam,ui-ux,2,Intentional Thunderbird change standardizing special folder naming to 'Spam'.,"the ""Junk"" folders in my Thunderbird accounts, without any action on my part, were suddenly renamed as ""Spam"" folders",True,2026-08-03,False,,False,True,True,3,1
1596429,Outgoing mail flagged as spam by Gmail recipients,spam-filters,3,Sending provider's IP reputation or missing SPF/DKIM/DMARC on the FREE account causes Gmail to classify messages as spam.,tous les messages que j'envoie avec ma messagerie Thunderbird depuis mon compte FREE sont-ils identifiés comme spams,False,2026-08-03,False,,False,True,True,1,0
1596433,How to add external calendars (Outlook/other) to Thunderbird,calendar-tasks,2,User unaware of the network calendar subscription workflow (CalDAV/ICS).,"hoe voeg ik digibites,outlook of acalender(Tapir) toe op thunderbird",False,2026-08-03,True,Mozilla-assistent,True,True,True,1,0
1596436,"Duplicate new-message badges across unified inbox, parent and other folders",ui-ux,2,"Unread indicators propagate to every parent/unified/favorite folder view, plus Gmail All Mail subscription duplicates messages.","When a new message comes in I get multiple notifications for it, one in the unified inbox and one in the local folders",False,2026-08-03,True,mozilla98,True,True,True,5,2
1596440,Gmail SMTP connection timed out when sending,send-receive,4,"Incorrect SMTP port/security settings, stale OAuth2 token, or security software blocking outbound SMTP to smtp.gmail.com.",the connection to Outgoing server (SMTP) smtp.gmail.com timed out,False,2026-08-03,False,,False,True,True,1,0
1596442,Outlook account setup fails when email address contains uppercase letters,account-login,4,"Thunderbird's account setup/OAuth flow may not normalize or preserve case in the local-part, causing Microsoft authentication to fail.",Mozilla Thunderbird aanvaardt geen hoofdletter in een mailadres en stop het proces om een mailbox te benaderen.,True,2026-08-03,False,,False,False,True,9,5
1596453,Thunderbird freezes about 5 minutes after startup on 153 ESR,performance-crash,4,"Large folders/message store combined with periodic mail-check triggered a blocking operation; resolved by retention pruning, compacting and repairing folders.",T-Bird is Freezing (Hang?) from start to freeze was 5 minutes and a few seconds.,True,2026-08-03,True,wylbur,True,False,True,13,5
1596455,Yahoo IMAP Bulk/Spam folder missing from folder list after rename to localized 'Mensajes no deseados',search-folders,2,"The Yahoo Bulk folder was renamed/localized by an update or server mapping, leaving a duplicate localized junk folder while the subscribed 'Bulk' folder no longer displays.","En el menú Suscribirse, SÍ APARECE la carpeta BULK y ESTÁ MARCADA ... en la relación de carpetas de la cuenta de Yahoo NO SE VE dicha carpeta",True,2026-08-03,True,pcp04,True,False,True,6,3
