id,discovered_theme,category,severity,root_cause_hypothesis,supporting_quote,is_new_or_notable,created_date,is_solved,solved_by,has_solution,last_answer_trusted,has_trusted_answer,n_answers,n_creator_answers
1579394,Wrong From/subject shown in header pane due to corrupt index after 150 update,performance-crash,3,Corrupt Unified Folders .msf index files caused header-pane data to mismatch actual messages.,"the ""From"" shown in the header pane is wrong",True,2026-05-01,True,rednoise,True,False,True,3,2
1579404,Emails not rendering as HTML after update,ui-ux,3,Message display setting reverted to plain text or content blocking after update prevents HTML rendering.,my emails are not opening. I get the blue underlined links but not opening as normal,True,2026-05-01,False,,False,False,False,0,0
1579412,"Suddenly stopped receiving new emails, connection times out",send-receive,5,"Server settings, port, or ISP-side change causing IMAP/POP connection timeout.",suddently it stopped receiving new emails. It seems like the connection times out,False,2026-05-01,False,,False,False,False,0,0
1579419,Run calendar as standalone app when Thunderbird closed,calendar-tasks,1,Feature request/how-to; calendar is not a separate process.,Is it possible to have the Calendar run when the rest of Thunderbird is closed ?,False,2026-05-01,False,,False,False,False,0,0
1579422,Column width setting applies to all subfolders instead of per-folder,ui-ux,2,Column layout inheritance applies width globally rather than per-folder.,a klasöründeki uzunluk tüm klasörleri değiştiriyor,False,2026-05-01,False,,False,False,False,0,0
1579425,Cannot resize Thunderbird window after update on Linux,ui-ux,3,Graphics/compositor (SWGL) failure prevents proper window sizing on Linux Mint.,"Tbird is either a default window occupying ~1/3 of the screen , or full screen",True,2026-05-01,False,,False,False,False,1,1
1579438,New account setup fails on one PC despite correct details,account-login,3,Local config/network/OAuth issue on the specific PC preventing account addition.,Thunderbird fails to add the same account on a different pc. All details are correct,False,2026-05-01,False,,False,False,False,0,0
1579442,IMAP emails moving between different accounts/servers automatically,send-receive,4,Possible message-move bug or misconfigured rule causing cross-server moves not from filters.,some (not all) emails disappear from the inbox of the first account and appear in the inbox of the third account,True,2026-05-01,False,,False,False,False,0,0
1579444,Gmail IMAP authentication failure,sync-oauth,4,Expired OAuth token or password auth requires re-authorization with Gmail.,Authentication Failure while connecting to server imap.gmail.com,False,2026-05-01,False,,False,False,False,0,0
1579447,Stop specific sender's mail going to Junk,spam-filters,1,How-to; user needs to whitelist sender in address book/junk settings.,How can I stop a certain sender's emails going into my Junk box,False,2026-05-01,False,,False,False,False,1,0
1579457,Emails missing after Thunderbird update,performance-crash,4,"Account data or folder contents lost/hidden after an update, possibly needing profile recovery or folder compaction.",Waar zijn mijn mails?,True,2026-05-01,True,Mozilla-assistent,True,True,True,1,0
